Date,Amundi MSCI Emerging Markets II UCITS ETF Acc
07/2006,117159.89420403127
08/2006,119404.18755781617
09/2006,122210.55260786503
10/2006,127644.42680665814
11/2006,131899.22509053553
12/2006,138149.59969256335
01/2007,139018.3712994771
02/2007,135508.13783590577
03/2007,139788.217178735
04/2007,143334.65200458126
05/2007,152016.77658571073
06/2007,158576.50133345372
07/2007,164545.70604157972
08/2007,161107.00764734828
09/2007,172912.75658668633
10/2007,188623.77409795
11/2007,171510.94243553377
12/2007,172574.47463224374
01/2008,149554.68004118622
02/2008,157484.76725517085
03/2008,143061.92712399998
04/2008,157386.0262034602
05/2008,160664.0643872876
06/2008,142290.16575033497
07/2008,138361.9724158264
08/2008,134910.68374702247
09/2008,114661.77209195745
10/2008,93379.42470847043
11/2008,86549.36125244714
12/2008,85333.62537948388
01/2009,86708.08766218404
02/2009,82934.26366436692
03/2009,90121.13237195942
04/2009,105382.82824125337
05/2009,116231.70269020255
06/2009,114383.40585351239
07/2009,127277.96042336732
08/2009,125650.61817720282
09/2009,133588.8230456567
10/2009,132331.80970397775
11/2009,135958.62915530655
12/2009,147382.38020660254
01/2010,143554.35337947353
02/2010,148277.81110730613
03/2010,161325.11375412327
04/2010,165308.40350710682
05/2010,163174.87629671677
06/2010,162460.72923946395
07/2010,165853.16137133387
08/2010,167133.55300251913
09/2010,172537.07234476318
10/2010,174863.7284973489
11/2010,181485.97841640745
12/2010,189139.61647362105
01/2011,179586.215146958
02/2011,176090.6144070365
03/2011,181555.22306535364
04/2011,178977.94446058717
05/2011,180091.00395385645
06/2011,176540.66613822366
07/2011,178236.507385304
08/2011,160218.09668629317
09/2011,146467.6853264216
10/2011,159965.54460293485
11/2011,155781.93968863887
12/2011,159599.16867242916
01/2012,174517.27920147718
02/2012,181308.28975309926
03/2012,176396.91847346374
04/2012,176190.72485164905
05/2012,166737.41100822837
06/2012,170658.24266773165
07/2012,178427.38078276438
08/2012,173277.68023354522
09/2012,179213.85465938094
10/2012,177260.39418315623
11/2012,179600.02038564786
12/2012,185412.11900035935
01/2013,183036.40055281203
02/2013,186538.19986351978
03/2013,187983.6241333827
04/2013,185582.16006252932
05/2013,181804.67496035897
06/2013,169332.3602529364
07/2013,168658.73465667653
08/2013,166309.8685534396
09/2013,173616.19321386336
10/2013,180241.2122025752
11/2013,177990.18996688342
12/2013,173120.80944118675
01/2014,165191.87409498735
02/2014,167009.19960729356
03/2014,172465.899116213
04/2014,172312.9063765979
05/2014,181531.93275858552
06/2014,185719.81031124317
07/2014,193392.74733034772
08/2014,200670.813783607
09/2014,194749.98843002063
10/2014,197974.4909469423
11/2014,196512.63455761186
12/2014,192808.9291169646
01/2015,208302.6994584992
02/2015,215995.2577943209
03/2015,222462.85091379314
04/2015,229860.15803354688
05/2015,225601.90035276025
06/2015,215583.87449551257
07/2015,204811.35712536602
08/2015,182213.2226027081
09/2015,176964.71104679102
10/2015,192780.68844311268
11/2015,192922.17486712063
12/2015,183369.0958014452
01/2016,170943.8326349725
02/2016,171164.6515598384
03/2016,185374.3979052654
04/2016,186102.98173585444
05/2016,183176.34084623755
06/2016,191549.22392237379
07/2016,201077.1655250136
08/2016,205765.8892134021
09/2016,207907.23014385928
10/2016,212490.70300723784
11/2016,208625.98286368625
12/2016,211072.43078294848
01/2017,218179.02893610764
02/2017,228202.05324647264
03/2017,231935.57663365404
04/2017,231850.50613676987
05/2017,232534.6671739537
06/2017,231072.58959035503
07/2017,238423.43740943584
08/2017,241782.046082652
09/2017,241234.9796729146
10/2017,253283.36600163573
11/2017,249256.4858599195
12/2017,255202.7140853193
01/2018,266163.3644024946
02/2018,258946.84499322594
03/2018,251960.9025306102
04/2018,255890.05895140566
05/2018,254873.37332346867
06/2018,245283.36105186876
07/2018,249191.68989553658
08/2018,244267.14324998323
09/2018,244597.98500145273
10/2018,228380.50451743716
11/2018,236923.42750311593
12/2018,228928.1092157115
01/2019,248139.7469034974
02/2019,250260.07270322964
03/2019,256446.33851025015
04/2019,262260.3938470442
05/2019,244744.51061032174
06/2019,254953.0550545255
07/2019,257193.0655796318
08/2019,247246.86160844317
09/2019,255421.97027848178
10/2019,259864.8684862863
11/2019,263558.7477857553
12/2019,277007.36406669434
01/2020,268422.39262910414
